mode,payload_bytes,endpoint,metric,attempted,n,mean,median,standard_deviation,ci95_low,ci95_high,minimum,maximum
native,102400,client,download_receive_ms,16,16,0.88841875,0.88305,0.05248808396515665,0.8604498243212969,0.9163876756787032,0.8151,0.9727
native,102400,client,transfer_total_ms,16,16,1.683275,1.6803,0.0694314674097175,1.6462775825855103,1.7202724174144899,1.58,1.8086
native,102400,client,throughput_mbps,16,16,974.8778234576807,975.0895194257436,39.78233306955162,953.6793145220844,996.0763323932771,905.8940617051862,1036.9620253164558
native,102400,client,process_cpu_ms,16,16,8.7890625,7.8125,9.830513587592122,3.5507515702780053,14.027373429721994,0.0,31.25
native,102400,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,102400,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,102400,client,application_framed_bytes_sent,16,16,102640.0,102640.0,0.0,102640.0,102640.0,102640.0,102640.0
native,102400,client,application_framed_bytes_received,16,16,102588.0,102588.0,0.0,102588.0,102588.0,102588.0,102588.0
native,102400,server,tls_handshake_ms,16,16,15.699512499999999,18.71915,8.260837850635975,11.297622729330673,20.101402270669325,2.4307,24.877
native,102400,server,channel_ready_ms,16,16,15.70850625,18.7277,8.261317314526277,11.3063609910579,20.110651508942098,2.4386,24.887
native,102400,server,ping_service_ms,16,16,0.3658375,0.37155,0.025282322546264085,0.35236550127452027,0.3793094987254797,0.3298,0.4098
native,102400,server,upload_receive_ms,16,16,0.9547375,0.9431,0.06188354520118144,0.9217620864258356,0.9877129135741645,0.8554,1.089
native,102400,server,download_send_ms,16,16,0.59525625,0.5868,0.017903071198354027,0.5857163767575381,0.604796123242462,0.5742,0.6348
native,102400,server,transfer_total_ms,16,16,1.7945625,1.782,0.09375154309841165,1.7446058290168514,1.8445191709831488,1.6481,1.9541
native,102400,server,throughput_mbps,16,16,915.2971704556236,919.4166756153239,47.37299870869252,890.0538813132673,940.5404595979799,838.4422496289853,994.1144348037133
native,102400,server,process_cpu_ms,16,16,2.9296875,0.0,6.2986388658582415,-0.4266202370689598,6.28599523706896,0.0,15.625
native,102400,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,102400,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,102400,server,application_framed_bytes_sent,16,16,102588.0,102588.0,0.0,102588.0,102588.0,102588.0,102588.0
native,102400,server,application_framed_bytes_received,16,16,102640.0,102640.0,0.0,102640.0,102640.0,102640.0,102640.0
native,1048576,client,tcp_connect_ms,16,16,11.021975,7.70235,9.328899505836688,6.050955346928949,15.992994653071051,2.5558,26.5091
native,1048576,client,tls_handshake_ms,16,16,2.9973125,2.9491,0.1686399315108969,2.9074506236544857,3.0871743763455144,2.8011,3.3504
native,1048576,client,channel_ready_ms,16,16,14.045125,10.5803,9.37591961822057,9.049050097635757,19.041199902364244,5.4185,29.4965
native,1048576,client,ping_rtt_ms,16,16,0.24215625,0.2439,0.030318442544651488,0.22600069235403403,0.25831180764596595,0.2053,0.3038
